id	height(cm)	weight(kg)
2139	157	61
2140	164	80
2141	173	101
2142	156	57
2143	193	102
2144	149	45
2145	186	55
2146	169	51
2147	135	63
2148	164	80
2149	111	89
2150	167	96
2151	182	67
2152	118	93
2153	129	76
2154	158	84
2155	185	104
2156	129	46
2157	134	48
2158	145	92
2159	141	80
2160	167	71
2161	133	71
2162	190	83
2163	186	63
2164	182	86
2165	122	62
2166	195	79
2167	137	77
2168	137	59
2169	176	69
2170	163	65
2171	194	61
2172	157	95
2173	180	42
2174	134	57
2175	175	42
2176	180	98
2177	176	100
2178	154	91
2179	167	101
2180	196	44
2181	192	43
2182	150	58
2183	174	66
2184	125	48
2185	119	41
2186	148	105
2187	133	43
2188	196	66
2189	189	53
2190	144	73
2191	162	92
2192	179	46
2193	189	82
2194	160	61
2195	171	65
2196	180	48
2197	186	100
2198	141	58
2199	195	98
2200	167	44
2201	147	74
2202	173	80
2203	143	100
2204	172	94
2205	161	71
2206	119	62
2207	134	85
2208	113	91
2209	116	66
2210	147	64
2211	118	60
2212	167	69
2213	158	105
2214	157	82
2215	160	57
2216	180	62
2217	121	88
2218	174	91
2219	189	87
2220	154	76
2221	174	75
2222	141	74
2223	136	78
2224	111	80
2225	145	56
2226	154	47
2227	183	53
2228	199	91
2229	147	67
2230	127	43
2231	126	98
2232	163	77
2233	182	54
2234	190	60
2235	151	74
2236	132	66
2237	167	41
2238	147	88
2239	113	46
2240	136	51
2241	153	75
2242	163	94
2243	132	71
2244	180	57
2245	119	80
2246	168	72
2247	113	63
2248	125	42
2249	171	78
2250	138	67
2251	158	92
2252	175	54
2253	145	61
2254	140	64
2255	134	95
2256	187	82
2257	175	97
2258	163	55
2259	132	58
2260	197	56
2261	153	71
2262	154	77
2263	156	88
2264	170	75
2265	145	49
2266	191	45
2267	153	105
2268	152	71
2269	145	42
2270	143	94
2271	138	51
2272	116	102
2273	124	44
2274	124	63
2275	124	68
2276	182	42
2277	152	89
2278	168	56
2279	182	52
2280	137	73
2281	148	57
2282	114	103
2283	147	74
2284	122	50
2285	125	72
2286	148	84
2287	190	96
2288	138	44
2289	163	79
2290	162	102
2291	111	104
2292	187	51
2293	151	84
2294	153	68
2295	199	47
2296	120	79
2297	163	57
2298	120	95
2299	153	98
2300	150	98
2301	181	94
2302	123	64
2303	176	64
2304	178	78
2305	186	86
2306	162	95
2307	143	65
2308	116	66
2309	118	43
2310	132	49
2311	111	92
2312	123	87
2313	177	99
2314	150	41
2315	121	61
2316	164	50
2317	167	78
2318	156	94
2319	115	61
2320	154	50
2321	152	93
2322	155	79
2323	195	88
2324	168	103
2325	137	67
2326	129	86
2327	175	54
2328	154	66
2329	137	83
2330	153	61
2331	174	55
2332	176	48
2333	123	63
2334	194	80
2335	116	94
2336	172	54
2337	135	97
2338	157	65
2339	196	80
2340	196	66
2341	143	45
2342	120	46
2343	192	46
2344	165	58
2345	190	98
2346	184	52
2347	161	61
2348	157	58
2349	189	44
2350	161	100
2351	174	68
2352	127	67
2353	129	55
2354	133	75
2355	169	40
2356	127	53
2357	165	43
2358	195	43
2359	157	99
2360	115	86
2361	173	81
2362	133	88
2363	193	104
2364	144	98
2365	167	59
2366	169	69
2367	122	104
2368	142	98
2369	175	51
2370	191	94
2371	182	62
2372	129	78
2373	170	71
2374	120	79
2375	171	99
2376	159	68
2377	128	105
2378	145	83
2379	151	96
2380	155	77
2381	132	41
2382	152	97
2383	167	50
2384	139	73
2385	123	99
2386	143	95
2387	122	94
2388	194	81
2389	184	60
2390	128	84
2391	182	95
2392	181	100
2393	177	101
2394	164	99
2395	172	71
2396	182	55
2397	125	43
2398	112	41
2399	133	53
2400	134	72
2401	161	54
2402	155	74
2403	141	103
2404	124	52
2405	159	99
2406	148	66
2407	179	80
2408	188	98
2409	163	76
2410	112	56
2411	157	57
2412	177	53
2413	111	79
2414	131	62
2415	182	55
2416	134	99
2417	181	100
2418	128	98
2419	177	57
2420	183	45
2421	130	54
2422	161	56
2423	155	98
2424	127	43
2425	171	91
2426	130	58
2427	150	63
2428	170	97
2429	149	60
2430	153	46
2431	194	54
2432	196	93
2433	165	93
2434	131	44
2435	179	84
2436	113	54
2437	162	68
2438	125	71
2439	196	89
2440	143	84
2441	132	84
2442	149	90
2443	189	58
2444	176	99
2445	179	43
2446	169	100
2447	166	101
2448	190	71
2449	136	49
2450	171	54
2451	111	53
2452	167	47
2453	130	47
2454	143	53
2455	137	80
2456	191	49
2457	121	97
2458	153	50
2459	150	61
2460	124	90
2461	114	69
2462	151	59
2463	120	44
2464	134	87
2465	120	89
2466	128	85
2467	180	49
2468	194	55
2469	139	75
2470	114	82
2471	126	101
2472	183	84
2473	152	78
2474	126	43
2475	162	90
2476	132	43
2477	139	44
2478	161	53
2479	155	67
2480	176	86
2481	153	40
2482	131	52
2483	197	67
2484	171	41
2485	175	43
2486	189	61
2487	122	100
2488	159	91
2489	118	95
2490	174	66
2491	181	72
2492	151	91
2493	173	92
2494	113	48
2495	188	43
2496	176	52
2497	180	70
2498	121	52
2499	152	42
2500	183	71
2501	187	93
2502	126	48
2503	147	99
2504	188	77
2505	175	93
2506	180	90
2507	162	84
2508	128	62
2509	130	105
2510	119	103
2511	153	46
2512	169	73
2513	139	65
2514	195	70
2515	138	88
2516	147	59
2517	130	82
2518	144	104
2519	186	49
2520	117	73
2521	155	93
2522	135	70
2523	196	101
2524	178	76
2525	113	87
2526	135	79
2527	152	75
2528	190	95
2529	160	92
2530	170	84
2531	188	71
2532	179	62
2533	128	63
2534	112	41
2535	151	100
2536	115	98
2537	173	104
2538	145	47
2539	150	78
2540	120	89
2541	156	72
2542	116	53
2543	166	77
2544	146	85
2545	197	44
2546	169	103
2547	124	59
2548	122	67
2549	154	103
2550	131	84
2551	152	73
2552	141	73
2553	147	100
2554	146	96
2555	134	42
2556	164	80
2557	198	83
2558	168	44
2559	145	42
2560	146	93
2561	139	59
2562	139	93
2563	116	47
2564	167	97
2565	193	83
2566	174	54
2567	177	87
2568	147	102
2569	179	92
2570	130	47
2571	111	71
2572	119	98
2573	165	55
2574	191	73
2575	129	84
2576	130	69
2577	136	96
2578	162	103
2579	176	92
2580	111	41
2581	165	97
2582	135	52
2583	175	49
2584	128	87
2585	184	64
2586	154	70
2587	122	91
2588	113	73
2589	123	51
2590	196	94
2591	115	41
2592	137	98
2593	194	60
2594	197	90
2595	192	49
2596	193	60
2597	184	95
2598	192	83
2599	112	74
2600	164	82
2601	181	89
2602	115	83
2603	130	67
2604	155	81
2605	177	79
2606	120	95
2607	145	94
2608	152	41
2609	117	63
2610	179	89
2611	112	69
2612	160	45
2613	185	105
2614	175	41
2615	194	94
2616	118	65
2617	129	82
2618	127	50
2619	172	45
2620	148	42
2621	132	79
2622	151	77
2623	162	82
2624	144	65
2625	172	76
2626	152	48
2627	177	99
2628	172	82
2629	181	45
2630	183	68
2631	197	67
2632	181	64
2633	196	87
2634	124	51
2635	139	46
2636	158	83
2637	191	97
2638	178	89
2639	144	66
2640	146	56
2641	130	89
2642	196	53
2643	117	101
2644	184	84
2645	167	61
2646	160	41
2647	174	76
2648	154	93
2649	176	61
2650	119	54
2651	162	52
2652	171	95
2653	164	74
2654	142	88
2655	198	44
2656	165	73
2657	152	53
2658	140	81
2659	123	94
2660	145	42
2661	172	60
2662	130	71
2663	188	48
2664	118	82
2665	176	41
2666	138	59
2667	152	43
2668	116	77
2669	122	72
2670	129	76
2671	128	97
2672	190	84
2673	159	60
2674	118	43
2675	156	56
2676	114	89
2677	188	55
2678	144	71
2679	187	103
2680	153	65
2681	168	58
2682	173	105
2683	180	77
2684	146	82
2685	142	104
2686	174	100
2687	117	50
2688	141	41
2689	197	79
2690	192	84
2691	198	47
2692	129	71
2693	157	56
2694	180	78
2695	157	67
2696	124	91
2697	148	65
2698	127	87
2699	168	77
2700	146	96
2701	188	51
2702	140	55
2703	150	50
2704	192	81
2705	159	61
2706	132	79
2707	177	76
2708	118	48
2709	174	59
2710	147	77
2711	168	72
2712	127	42
2713	119	55
2714	169	77
2715	174	100
2716	194	93
2717	141	104
2718	123	85
2719	132	103
2720	137	60
2721	155	98
2722	143	94
2723	133	67
2724	192	66
2725	134	52
2726	194	78
2727	163	52
2728	139	104
2729	165	99
2730	146	57
2731	174	74
2732	114	74
2733	134	42
2734	120	69
2735	185	74
2736	163	41
2737	170	96
2738	110	93
2739	157	54
2740	141	42
2741	117	88
2742	179	46
2743	138	82
2744	140	40
2745	171	65
2746	139	81
2747	112	71
2748	150	77
2749	147	102
2750	192	98
2751	126	61
2752	191	52
2753	126	72
2754	119	51
2755	172	59
2756	111	76
2757	130	50
2758	135	99
2759	152	85
2760	184	95
2761	130	43
2762	111	82
2763	184	104
2764	193	58
2765	167	50
2766	193	83
2767	129	84
2768	196	91
2769	184	99
2770	137	73
2771	152	68
2772	120	49
2773	181	50
2774	196	97
2775	147	97
2776	185	84
2777	188	102
2778	120	56
2779	161	54
2780	113	97
2781	149	47
2782	131	57
2783	182	90
2784	163	103
2785	161	68
2786	136	68
2787	156	81
2788	118	66
2789	122	98
2790	130	68
2791	190	45
2792	125	41
2793	190	90
2794	176	74
2795	173	79
2796	152	47
2797	185	54
2798	125	77
2799	181	91
2800	153	45
2801	141	61
2802	197	55
2803	183	45
2804	158	85
2805	147	85
2806	149	82
2807	134	93
2808	117	69
2809	168	92
2810	185	69
2811	166	86
2812	111	91
2813	116	43
2814	170	44
2815	134	72
2816	185	71
2817	166	54
2818	169	103
2819	148	57
2820	151	67
2821	188	41
2822	150	45
2823	149	104
2824	167	63
2825	148	98
2826	179	83
2827	142	70
2828	198	46
2829	166	52
2830	164	49
2831	154	92
2832	198	104
2833	147	69
2834	129	55
2835	194	43
2836	186	98
2837	169	70
2838	178	48
2839	119	95
2840	114	63
2841	163	98
2842	121	59
2843	146	45
2844	155	103
2845	152	54
2846	183	50
2847	147	53
2848	128	56
2849	181	102
2850	195	89
2851	155	69
2852	188	57
2853	161	46
2854	185	47
2855	135	99
2856	167	94
2857	156	49
2858	164	44
2859	143	101
2860	143	99
2861	115	84
2862	148	51
2863	166	76
2864	117	99
2865	144	55
2866	162	57
2867	117	58
2868	166	86
2869	118	81
2870	116	86
2871	135	58
2872	184	81
2873	136	100
2874	136	85
2875	154	60
2876	148	42
2877	183	78
2878	156	67
2879	177	66
2880	163	45
2881	176	55
2882	173	71
2883	198	47
2884	171	101
2885	115	102
2886	124	59
2887	186	44
2888	185	55
2889	166	54
2890	150	87
2891	167	44
2892	191	80
2893	186	54
2894	171	54
2895	158	64
2896	191	76
2897	117	41
2898	170	74
2899	115	83
2900	138	87
2901	166	43
2902	158	99
2903	164	85
2904	125	63
2905	156	43
2906	155	89
2907	170	88
2908	142	63
2909	189	50
2910	153	87
2911	167	50
2912	162	105
2913	172	86
2914	174	44
2915	112	102
2916	130	81
2917	137	100
2918	147	87
2919	138	90
2920	189	55
2921	113	74
2922	185	79
2923	199	96
2924	120	43
2925	150	90
2926	129	70
2927	124	86
2928	194	84
2929	182	50
2930	114	86
2931	115	88
2932	165	68
2933	152	71
2934	137	77
2935	181	85
2936	134	77
2937	186	61
2938	168	81
2939	164	52
2940	112	92
2941	167	74
2942	147	83
2943	171	54
2944	130	72
2945	193	91
2946	168	45
2947	165	69
2948	182	63
2949	178	48
2950	130	97
2951	166	75
2952	164	57
2953	157	43
2954	180	92
2955	152	67
2956	193	87
2957	139	83
2958	174	104
2959	164	100
2960	152	92
2961	133	77
2962	123	85
2963	171	76
2964	140	44
2965	173	56
2966	117	52
2967	170	89
2968	128	69
2969	145	78
2970	181	47
2971	138	65
2972	162	47
2973	199	95
2974	115	90
2975	120	91
2976	145	73
2977	128	46
2978	160	65
2979	140	100
2980	185	60
2981	141	58
2982	167	74
2983	114	64
2984	186	60
2985	113	47
2986	196	92
2987	130	70
2988	115	67
2989	148	70
2990	188	67
2991	112	87
2992	140	90
2993	176	59
2994	121	90
2995	146	92
2996	176	76
2997	133	91
2998	111	98
2999	112	72
3000	168	61
3001	171	67
3002	146	95
3003	167	101
3004	173	65
3005	143	74
3006	142	72
3007	185	50
3008	139	67
3009	119	47
3010	156	67
3011	174	89
3012	169	77
3013	122	85
3014	192	82
3015	142	94
3016	180	87
3017	166	97
3018	155	104
3019	120	102
3020	155	88
3021	156	74
3022	193	95
3023	156	40
3024	130	93
3025	182	90
3026	145	61
3027	129	47
3028	163	51
3029	187	93
3030	119	64
3031	115	79
3032	148	68
3033	126	82
3034	174	96
3035	173	95
3036	134	97
3037	168	68
3038	156	83
3039	126	87
3040	125	73
3041	121	97
3042	196	74
3043	168	91
3044	157	49
3045	121	100
3046	125	64
3047	169	55
3048	124	73
3049	144	85
3050	196	96
3051	142	96
3052	140	97
3053	177	44
3054	121	43
3055	177	86
3056	114	87
3057	128	70
3058	174	75
3059	150	105
3060	137	88
3061	160	90
3062	122	43
3063	137	88
3064	115	41
3065	174	46
3066	129	94
3067	168	83
3068	141	102
3069	162	58
3070	173	65
3071	146	70
3072	168	61
3073	157	55
3074	123	61
3075	182	41
3076	162	79
3077	195	73
3078	185	64
3079	170	88
3080	143	89
3081	190	89
3082	119	70
3083	189	79
3084	190	59
3085	125	84
3086	176	57
3087	197	87
3088	184	96
3089	195	41
3090	159	76
3091	161	70
3092	120	80
3093	119	48
3094	154	84
3095	119	92
3096	160	94
3097	144	70
3098	145	98
3099	116	70
3100	169	52
3101	173	53
3102	129	62
3103	173	69
3104	146	85
3105	130	48
3106	174	73
3107	142	59
3108	148	76
3109	116	73
3110	143	52
3111	152	93
3112	153	54
3113	119	67
3114	173	71
3115	153	65
3116	123	98
3117	151	53
3118	180	100
3119	135	56
3120	155	78
3121	169	48
3122	173	102
3123	194	40
3124	168	99
3125	171	70
3126	186	52
3127	144	82
3128	134	80
3129	149	76
3130	113	62
3131	138	89
3132	171	44
3133	126	60
3134	181	62
3135	193	86
3136	173	43
3137	182	91
3138	168	55
3139	162	57
3140	169	92
3141	177	59
3142	116	45
3143	177	95
3144	195	48
3145	111	88
3146	171	62
3147	110	71
3148	149	104
3149	143	72
3150	161	66
3151	150	103
3152	155	56
3153	159	90
3154	195	67
3155	194	70
3156	190	104
3157	141	63
3158	157	50
3159	170	70
3160	144	96
3161	144	100
3162	112	62
3163	119	75
3164	155	55
3165	163	40
3166	150	98
3167	146	67
3168	185	68
3169	125	90
3170	171	99
3171	174	96
3172	122	98
3173	177	47
3174	161	57
3175	159	81
3176	139	63
3177	160	76
3178	113	78
3179	166	104
3180	192	82
3181	140	66
3182	159	41
3183	183	45
3184	132	98
3185	140	80
3186	172	53
3187	164	84
3188	179	50
3189	140	59
3190	159	63
3191	178	45
3192	191	60
3193	134	50
3194	170	53
3195	167	52
3196	193	87
3197	131	101
3198	181	101
3199	179	69
3200	157	96
3201	151	64
3202	157	83
3203	146	64
3204	164	88
3205	184	88
3206	189	100
3207	148	77
3208	115	43
3209	177	52
3210	165	79
3211	155	98
3212	169	77
3213	194	70
3214	155	53
3215	182	50
3216	145	96
3217	125	83
3218	127	58
3219	169	69
3220	183	59
3221	143	47
3222	132	96
3223	191	65
3224	128	55
3225	169	55
3226	150	59
3227	170	82
3228	128	57
3229	176	75
3230	183	63
3231	173	57
3232	188	93
3233	117	89
3234	195	59
3235	114	64
3236	136	98
3237	170	94
3238	119	50
3239	194	84
3240	179	62
3241	195	59
3242	171	43
3243	112	46
3244	145	98
3245	158	71
3246	114	80
3247	111	46
3248	166	89
3249	182	59
3250	131	98
3251	176	59
3252	178	88
3253	130	83
3254	173	71
3255	162	44
3256	181	67
3257	183	105
3258	124	98
3259	129	99
3260	153	56
3261	183	84
3262	149	58
3263	176	98
3264	144	96
3265	120	71
3266	122	42
3267	155	100
3268	135	71
3269	194	84
3270	175	97
3271	189	67
3272	162	44
3273	124	65
3274	186	72
3275	186	87
3276	157	62
3277	117	84
3278	130	62
3279	138	75
3280	152	49
3281	113	83
3282	191	90
3283	115	83
3284	133	84
3285	191	61
3286	192	98
3287	123	84
3288	160	80
3289	181	98
3290	126	92
3291	174	55
3292	188	79
3293	156	45
3294	180	83
3295	172	48
3296	134	103
3297	135	93
3298	188	82
3299	139	103
3300	120	43
3301	115	47
3302	118	94
3303	141	89
3304	135	102
3305	163	103
3306	158	82
3307	178	102
3308	158	88
3309	110	98
3310	129	41
3311	131	54
3312	152	70
3313	190	70
3314	177	64
3315	165	104
3316	150	64
3317	184	101
3318	139	99
3319	126	57
3320	152	105
3321	144	58
3322	178	41
3323	192	56
3324	112	53
3325	134	95
3326	147	84
3327	196	86
3328	146	89
3329	159	43
3330	184	97
3331	122	41
3332	191	60
3333	160	72
3334	115	99
3335	147	70
3336	189	88
3337	142	60
3338	134	69
3339	194	54
3340	174	74
3341	182	98
3342	116	64
3343	125	94
3344	168	43
3345	191	105
3346	157	74
3347	157	95
3348	180	87
3349	172	96
3350	179	45
3351	178	47
3352	137	43
3353	142	65
3354	137	68
3355	191	71
3356	143	53
3357	122	64
3358	149	89
3359	114	43
3360	144	64
3361	178	75
3362	121	102
3363	138	75
3364	167	98
3365	147	50
3366	193	73
3367	192	91
3368	187	62
3369	138	92
3370	118	84
3371	124	96
3372	189	69
3373	165	56
3374	150	46
3375	127	55
3376	159	74
3377	130	43
3378	132	67
3379	185	87
3380	151	68
3381	135	60
3382	129	53
3383	179	53
3384	116	95
3385	128	81
3386	159	61
3387	120	70
3388	185	71
3389	150	83
3390	167	88
3391	139	71
3392	153	88
3393	182	97
3394	132	43
3395	196	57
3396	118	91
3397	159	80
3398	112	69
3399	146	57
3400	146	54
3401	114	48
3402	131	67
3403	169	97
3404	162	63
3405	168	100
3406	124	83
3407	178	95
3408	153	53
3409	125	69
3410	120	90
3411	119	99
3412	131	92
3413	180	83
3414	119	98
3415	125	42
3416	195	81
3417	131	92
3418	142	71
3419	192	87
3420	176	102
3421	115	84
3422	164	99
3423	161	77
3424	112	96
3425	158	93
3426	198	102
3427	153	96
3428	191	42
3429	111	50
3430	177	80
3431	128	41
3432	149	82
3433	148	102
3434	168	80
3435	142	73
3436	124	66
3437	122	100
3438	112	44
3439	154	93
3440	158	70
3441	129	49
3442	189	41
3443	144	46
3444	110	74
3445	134	43
3446	118	85
3447	178	55
3448	156	102
3449	196	61
3450	126	104
3451	114	78
3452	171	98
3453	195	44
3454	157	70
3455	113	86
3456	164	81
3457	194	83
3458	117	76
3459	150	88
3460	187	85
3461	163	74
3462	154	100
3463	128	45
3464	152	46
3465	132	67
3466	138	80
3467	142	55
3468	129	40
3469	153	79
3470	181	87
3471	187	51
3472	176	58
3473	172	80
3474	189	100
3475	155	86
3476	184	102
3477	115	102
3478	178	46
3479	172	40
3480	191	42
3481	141	71
3482	136	87
3483	181	65
3484	171	55
3485	197	60
3486	197	97
3487	127	41
3488	121	82
3489	125	87
3490	138	70
3491	182	52
3492	123	45
3493	116	91
3494	186	69
3495	166	78
3496	137	64
3497	147	91
3498	124	83
3499	195	61
3500	191	41
3501	198	85
3502	160	60
3503	142	47
3504	179	53
3505	113	61
3506	145	93
3507	111	87
3508	132	68
3509	148	59
3510	199	100
3511	166	77
3512	123	88
3513	125	77
3514	182	93
3515	118	51
3516	132	40
3517	176	102
3518	179	55
3519	167	80
3520	181	63
3521	186	49
3522	150	44
3523	147	45
3524	194	51
3525	116	89
3526	193	59
3527	119	47
3528	114	97
3529	120	61
3530	114	68
3531	171	70
3532	129	95
3533	148	60
3534	197	59
3535	197	84
3536	132	97
3537	187	102
3538	174	74
3539	149	72
3540	129	56
3541	136	83
3542	144	51
3543	173	79
3544	185	80
3545	185	93
3546	180	52
3547	178	61
3548	111	79
3549	185	68
3550	142	65
3551	144	55
3552	164	56
3553	198	49
3554	172	60
3555	192	84
3556	128	76
3557	188	52
3558	140	96
3559	199	69
3560	152	72
3561	145	101
3562	161	102
3563	116	42
3564	142	63
3565	153	64
3566	139	79
3567	129	66
3568	169	46
3569	119	95
3570	125	53
3571	160	58
3572	124	51
3573	128	75
3574	141	83
3575	193	54
3576	154	90
3577	157	64
3578	141	56
3579	170	99
3580	189	96
3581	147	56
3582	119	41
3583	133	76
3584	185	88
3585	195	70
3586	140	41
3587	160	64
3588	160	99
3589	170	67
3590	161	95
3591	132	85
3592	118	43
3593	182	70
3594	167	54
3595	177	105
3596	115	101
3597	133	47
3598	175	98
3599	129	53
3600	157	58
3601	199	82
3602	139	61
3603	189	57
3604	125	99
3605	137	77
3606	175	51
3607	150	96
3608	192	90
3609	186	63
3610	115	63
3611	195	102
3612	139	68
3613	181	52
3614	129	52
3615	110	94
3616	180	81
3617	114	99
3618	147	99
3619	124	56
3620	166	41
3621	192	59
3622	119	46
3623	145	64
3624	164	90
3625	171	68
3626	195	92
3627	133	65
3628	128	78
3629	141	87
3630	160	84
3631	176	81
3632	141	67
3633	126	54
3634	192	70
3635	183	102
3636	110	65
3637	135	68
3638	174	102
3639	173	93
3640	128	85
3641	158	77
3642	127	82
3643	153	81
3644	176	93
3645	191	75
3646	165	103
3647	181	100
3648	189	49
3649	111	98
3650	125	56
3651	174	59
3652	137	54
3653	172	45
3654	148	92
3655	149	93
3656	117	82
3657	132	102
3658	138	93
3659	158	89
3660	186	44
3661	122	40
3662	199	80
3663	175	55
3664	179	46
3665	183	65
3666	180	76
3667	165	68
3668	143	94
3669	187	91
3670	137	59
3671	133	89
3672	173	57
3673	193	89
3674	112	51
3675	146	50
3676	169	55
3677	143	62
3678	192	42
3679	189	48
3680	179	81
3681	197	73
3682	142	42
3683	125	97
3684	153	43
3685	114	55
3686	114	87
3687	175	44
3688	126	88
3689	166	66
3690	123	44
3691	155	89
3692	127	93
3693	143	64
3694	151	84
3695	187	100
3696	156	89
3697	162	81
3698	173	100
3699	189	49
3700	127	77
3701	135	47
3702	190	58
3703	176	62
3704	187	51
3705	126	91
3706	140	91
3707	156	70
3708	177	50
3709	133	102
3710	165	49
3711	150	100
3712	158	99
3713	193	41
3714	113	74
3715	126	45
3716	118	48
3717	164	92
3718	141	90
3719	181	92
3720	178	79
3721	153	94
3722	116	96
3723	150	95
3724	158	80
3725	179	62
3726	167	72
3727	134	55
3728	112	95
3729	112	82
3730	137	94
3731	158	58
3732	149	64
3733	195	64
3734	183	43
3735	172	43
3736	165	46
3737	112	41
3738	134	49
3739	168	87
3740	124	43
3741	194	45
3742	168	45
3743	141	56
3744	194	42
3745	172	55
3746	135	64
3747	129	74
3748	194	47
3749	139	96
3750	137	81
3751	177	62
3752	172	51
3753	176	75
3754	142	52
3755	162	40
3756	195	69
3757	191	41
3758	164	48
3759	160	78
3760	150	69
3761	135	90
3762	134	45
3763	136	55
3764	157	70
3765	140	97
3766	190	88
3767	146	66
3768	154	48
3769	158	89
3770	176	43
3771	139	62
3772	152	67
3773	159	90
3774	198	83
3775	121	46
3776	140	49
3777	197	40
3778	188	59
3779	190	62
3780	168	84
3781	131	81
3782	139	103
3783	185	94
3784	154	101
3785	158	64
3786	153	100
3787	122	85
3788	181	78
3789	115	61
3790	129	54
3791	169	67
3792	184	67
3793	167	72
3794	113	67
3795	139	69
3796	116	96
3797	165	86
3798	146	52
3799	166	66
3800	181	83
3801	110	103
3802	196	62
3803	121	59
3804	111	69
3805	174	71
3806	146	94
3807	196	50
3808	122	102
3809	138	47
3810	114	67
3811	128	79
3812	115	64
3813	115	98
3814	168	72
3815	122	100
3816	142	91
3817	123	76
3818	152	88
3819	135	75
3820	154	48
3821	169	102
3822	126	93
3823	175	49
3824	133	75
3825	131	64
3826	181	86
3827	163	56
3828	149	104
3829	145	89
3830	152	95
3831	137	64
3832	174	49
3833	116	56
3834	118	90
3835	110	56
3836	126	60
3837	187	93
3838	177	43
3839	188	100
3840	197	104
3841	186	57
3842	146	44
3843	192	104
3844	133	72
3845	181	96
3846	114	96
3847	145	81
3848	196	45
3849	187	42
3850	120	100
3851	138	79
3852	140	56
3853	164	72
3854	158	75
3855	120	102
3856	126	50
3857	157	42
3858	198	65
3859	153	69
3860	132	102
3861	127	46
3862	145	76
3863	175	89
3864	164	98
3865	150	75
3866	155	54
3867	143	88
3868	139	43
3869	182	72
3870	196	88
3871	187	94
3872	147	63
3873	132	103
3874	194	91
3875	129	100
3876	184	102
3877	121	80
3878	161	80
3879	135	98
3880	176	97
3881	111	53
3882	174	95
3883	157	87
3884	127	80
3885	135	86
3886	172	54
3887	198	65
3888	184	95
3889	111	77
3890	136	98
3891	149	43
3892	184	101
3893	130	63
3894	181	51
3895	157	97
3896	111	70
3897	147	50
3898	131	97
3899	161	76
3900	179	43
3901	155	53
3902	197	60
3903	141	97
3904	146	73
3905	135	53
3906	180	84
3907	126	53
3908	124	55
3909	174	103
3910	165	58
3911	131	79
3912	162	90
3913	117	91
3914	116	51
3915	116	100
3916	137	60
3917	177	67
3918	144	102
3919	160	79
3920	184	93
3921	120	94
3922	132	72
3923	111	93
3924	184	65
3925	144	90
3926	150	94
3927	140	87
3928	114	78
3929	198	67
3930	161	86
3931	175	65
3932	128	65
3933	122	99
3934	188	85
3935	183	59
3936	130	99
3937	114	68
3938	118	95
3939	184	43
3940	173	67
3941	165	81
3942	138	44
3943	123	68
3944	153	56
3945	130	102
3946	113	65
3947	142	74
3948	175	85
3949	141	42
3950	171	103
3951	191	95
3952	155	84
3953	139	91
3954	120	69
3955	171	99
3956	180	60
3957	173	68
3958	113	55
3959	117	105
3960	198	68
3961	138	56
3962	155	101
3963	128	47
3964	149	50
3965	194	41
3966	144	89
3967	134	44
3968	158	83
3969	152	79
3970	156	100
3971	147	99
3972	125	49
3973	136	61
3974	152	70
3975	110	104
3976	163	54
3977	155	48
3978	120	44
3979	145	94
3980	119	104
3981	168	49
3982	174	45
3983	140	90
3984	117	54
3985	145	61
3986	133	71
3987	113	90
3988	190	47
3989	137	70
3990	137	58
3991	178	56
3992	132	101
3993	164	89
3994	182	69
3995	195	64
3996	177	46
3997	125	60
3998	171	75
3999	183	75
4000	168	44
4001	190	63
4002	165	57
4003	116	75
4004	154	54
4005	175	61
4006	187	61
4007	172	43
4008	194	92
4009	179	99
4010	150	97
4011	127	90
4012	155	99
4013	198	89
4014	156	58
4015	176	104
4016	157	103
4017	170	65
4018	111	45
4019	135	60
4020	126	59
4021	180	91
4022	140	97
4023	132	96
4024	130	104
4025	146	55
4026	140	99
4027	160	64
4028	137	42
4029	161	96
4030	129	80
4031	198	90
4032	148	62
4033	181	46
4034	137	100
4035	179	73
4036	125	75
4037	175	88
4038	140	105
4039	134	82
4040	165	51
4041	140	79
4042	145	67
4043	132	62
4044	147	47
4045	128	55
4046	171	44
4047	136	72
4048	124	74
4049	148	69
4050	147	67
4051	132	62
4052	192	98
4053	175	52
4054	175	76
4055	117	97
4056	184	88
4057	133	49
4058	171	98
4059	126	64
4060	118	94
4061	171	76
4062	190	79
4063	124	50
4064	198	104
4065	164	87
4066	174	56
4067	177	48
4068	162	58
4069	137	63
4070	191	63
4071	180	102
4072	159	98
4073	176	102
4074	192	43
4075	122	72
4076	140	90
4077	116	44
4078	179	65
4079	133	88
4080	177	68
4081	116	90
4082	196	54
4083	113	51
4084	156	71
4085	169	54
4086	137	75
4087	128	81
4088	161	47
4089	141	67
4090	147	50
4091	155	89
4092	194	65
4093	126	51
4094	146	96
4095	186	72
4096	112	84
4097	145	69
4098	110	82
4099	192	41
4100	175	93
4101	159	57
4102	133	49
4103	190	65
4104	148	62
4105	117	48
4106	144	63
4107	186	74
4108	190	70
4109	142	97
4110	147	105
4111	176	91
4112	122	86
4113	115	57
4114	192	57
4115	177	84
4116	116	55
4117	177	105
4118	143	73
4119	149	73
4120	123	69
4121	184	87
4122	180	65
4123	169	44
4124	166	79
4125	128	84
4126	184	64
4127	166	48
4128	198	85
4129	141	104
4130	150	44
4131	186	45
4132	171	92
4133	165	64
4134	197	50
4135	138	56
